
****
Starting LogProcess on   at Mon  6 Jun 21:10:33 CEST 2016
****

[Mon  6 Jun 21:15:31 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.250  Source addr:192.168.2.252 Filesize is 200 MB
[Mon  6 Jun 21:18:07 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.251  Source addr:192.168.2.252 Filesize is 200 MB
[Mon  6 Jun 21:20:46 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.251  Source addr:192.168.2.252 Filesize is 200 MB
[Mon  6 Jun 21:24:17 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.251  Source addr:192.168.2.252 Filesize is 200 MB
[Mon  6 Jun 21:27:02 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.251  Source addr:192.168.2.252 Filesize is 200 MB
[Mon  6 Jun 21:30:43 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.251  Source addr:192.168.2.252 Filesize is 200 MB
[Mon  6 Jun 21:33:10 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.251  Source addr:192.168.2.252 Filesize is 200 MB
[Mon  6 Jun 21:34:59 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.253  Source addr:192.168.2.252 Filesize is 200 MB
[Mon  6 Jun 21:37:28 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.251  Source addr:192.168.2.252 Filesize is 200 MB
[Mon  6 Jun 21:39:23 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.253  Source addr:192.168.2.252 Filesize is 200 MB
[Mon  6 Jun 21:42:19 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.253  Source addr:192.168.2.252 Filesize is 200 MB
[Mon  6 Jun 21:45:20 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.250  Source addr:192.168.2.252 Filesize is 200 MB
[Mon  6 Jun 21:47:33 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.252  Source addr:192.168.2.252 Filesize is 200 MB
[Mon  6 Jun 21:51:02 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.251  Source addr:192.168.2.252 Filesize is 200 MB
[Mon  6 Jun 21:54:22 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.250  Source addr:192.168.2.252 Filesize is 200 MB
[Mon  6 Jun 21:56:25 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.250  Source addr:192.168.2.252 Filesize is 200 MB
[Mon  6 Jun 21:59:03 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.251  Source addr:192.168.2.252 Filesize is 200 MB
[Mon  6 Jun 22:01:19 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.253  Source addr:192.168.2.252 Filesize is 200 MB
[Mon  6 Jun 22:04:23 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.250  Source addr:192.168.2.252 Filesize is 200 MB
[Mon  6 Jun 22:06:47 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.250  Source addr:192.168.2.252 Filesize is 200 MB
